CustomerID,Age,DurationOfPitch,NumberOfFollowups,NumberOfTrips,NumberOfChildrenVisiting,MonthlyIncome
200000,0.00020387993328727693,2.9836087798138087e-05,1.4918043899069044e-05,4.972681299689681e-06,0.0,0.10439149852438548
200001,0.00024376715854107722,6.964775958316491e-05,1.9899359880904262e-05,9.949679940452131e-06,9.949679940452131e-06,0.1001435286006507
200002,0.000184326435544713,3.985436444210011e-05,1.9927182221050055e-05,3.4872568886837595e-05,0.0,0.08513888603943635
200003,0.00016433999351443817,4.481999823121041e-05,1.493999941040347e-05,9.959999606935646e-06,4.979999803467823e-06,0.08918681648030524
200004,0.00015931903582747233,3.9829758956868083e-05,1.4936159608825531e-05,4.9787198696085104e-06,0.0,0.09194699855192998
200005,0.00015934711058839183,3.983677764709796e-05,1.4938791617661733e-05,4.979597205887245e-06,4.979597205887245e-06,0.08997136231597073
200006,0.00029384659247639266,4.482405647944973e-05,9.960901439877717e-06,2.4902253599694294e-05,4.980450719938859e-06,0.08800456422131964
200007,0.0001494112764710175,0.0001494112764710175,1.494112764710175e-05,9.9607517647345e-06,4.98037588236725e-06,0.08811779048672376
200008,0.00018857985563486607,0.000143916205616082,1.9850511119459587e-05,4.962627779864897e-06,0.0,0.12171340892896645
200009,0.00017907757723227465,0.00016415444579625176,1.4923131436022887e-05,3.482064001738674e-05,0.0,0.10066647029026506
200010,0.00017433083558613565,0.00010957938236842813,9.961762033493466e-06,4.980881016746733e-06,4.980881016746733e-06,0.08679683259782857
200011,0.00015437373058442317,0.00010457575297654472,1.9919191043151375e-05,4.979797760787844e-06,0.0,0.08919315769347107
200012,0.0001543729637920644,0.00015935273681761487,1.4939319076651394e-05,9.95954605110093e-06,4.979773025550465e-06,0.08919271466063437
200013,0.00016933011554196982,0.00012450743789850724,1.4940892547820867e-05,4.9802975159402896e-06,9.960595031880579e-06,0.08795703442902145
200014,0.00013948562796855268,0.00014944888710916358,1.9926518281221812e-05,2.9889777421832718e-05,0.0,0.08482718832316125
200015,0.00014387143486668482,0.0001339492669448445,9.922167921840333e-06,9.922167921840333e-06,4.961083960920167e-06,0.12392787734378576
200016,0.0001593218988924172,5.4766902744268414e-05,9.957618680776075e-06,4.978809340388038e-06,0.0,0.09110225331042031
200017,0.00010955112258111238,0.00010955112258111238,9.959192961919308e-06,9.959192961919308e-06,0.0,0.0893090628860114
200018,0.00026196245537378997,3.9541502697930564e-05,1.9770751348965282e-05,1.4828063511723962e-05,0.0,0.15039116282374165
200019,0.0001692686062911612,3.982790736262616e-05,1.493546526098481e-05,2.987093052196962e-05,4.97848842032827e-06,0.09163903635298247
200020,0.0001692677667450045,8.463388337250225e-05,9.9569274555885e-06,4.97846372779425e-06,9.9569274555885e-06,0.09163858183750877
200021,0.0001692669277189658,7.467658575836727e-05,1.9913756202231273e-05,4.978439050557818e-06,0.0,0.09163812760361775
200022,0.0001684542018648371,6.440895953655537e-05,1.4863606046897393e-05,4.954535348965798e-06,0.0,0.13374272720998273
200023,0.00010464392795732565,0.00010464392795732565,1.4949132565332237e-05,9.966088376888157e-06,4.983044188444078e-06,0.08088477326682429
200024,0.00016929851843547388,5.975241827134372e-05,1.493810456783593e-05,1.493810456783593e-05,4.979368189278643e-06,0.08942945267944444
200025,0.0002611997485722652,5.4211268571602213e-05,1.4784891428618785e-05,2.4641485714364643e-05,4.928297142872928e-06,0.16802536278910962
200026,0.0002087338677462427,0.00010933678786707952,2.48492699697908e-05,9.93970798791632e-06,9.93970798791632e-06,0.10846706341813685
200027,0.00020873283729407678,6.957761243135892e-05,1.4909488378148341e-05,4.969829459382781e-06,4.969829459382781e-06,0.10846652795102918
200028,0.00021823757946207363,6.447928484106721e-05,1.98397799510976e-05,1.98397799510976e-05,0.0,0.12522869105132806
200029,0.00022672480504280218,3.943040087700908e-05,1.4786400328878404e-05,1.971520043850454e-05,4.928800109626135e-06,0.16731797732147838
200030,0.00016434778143549,3.984188640860364e-05,1.4940707403226365e-05,2.4901179005377274e-05,9.96047160215091e-06,0.08713420557561616
200031,0.00021871026985288586,7.953100721923123e-05,1.4912063853605855e-05,1.4912063853605855e-05,4.970687951201952e-06,0.10669581687254989
200032,0.0001494242408966061,7.471212044830305e-05,1.9923232119547483e-05,9.961616059773741e-06,4.980808029886871e-06,0.08569978296223349
200033,0.00019426046390484024,5.479141289623699e-05,1.4943112608064633e-05,1.9924150144086177e-05,4.981037536021544e-06,0.08510600734046411
200034,0.00011953375696905608,2.988343924226402e-05,1.494171962113201e-05,1.494171962113201e-05,9.961146414088007e-06,0.08612905246941195
200035,0.00021413092215424,3.9838311098463255e-05,9.959577774615814e-06,9.959577774615814e-06,4.979788887307907e-06,0.08786837491654802
200036,0.0002489840627900045,4.481713130220081e-05,1.991872502320036e-05,9.95936251160018e-06,0.0,0.08805570364631299
200037,0.00017433816352238743,3.9848723090831415e-05,1.494327115906178e-05,9.962180772707854e-06,0.0,0.0847482718334257
