CustomerID,Age,DurationOfPitch,NumberOfFollowups,NumberOfTrips,NumberOfChildrenVisiting,MonthlyIncome
200000,0.6721311475409836,0.16666666666666666,0.5,0.125,0.0,0.5427773612224319
200001,0.8032786885245902,0.3888888888888889,0.6666666666666666,0.25,0.6666666666666666,0.5204643586627712
200002,0.6065573770491803,0.2222222222222222,0.6666666666666666,0.875,0.0,0.4418646740957158
200003,0.5409836065573771,0.25,0.5,0.25,0.3333333333333333,0.46304004964190604
200004,0.5245901639344263,0.2222222222222222,0.5,0.125,0.0,0.47749308374486127
200005,0.5245901639344263,0.2222222222222222,0.5,0.125,0.3333333333333333,0.4671510199860382
200006,0.9672131147540983,0.25,0.3333333333333333,0.625,0.3333333333333333,0.45686066654600926
200007,0.4918032786885246,0.8333333333333334,0.5,0.25,0.3333333333333333,0.4574553352121416
200008,0.6229508196721312,0.8055555555555556,0.6666666666666666,0.125,0.0,0.6341236393722367
200009,0.5901639344262295,0.9166666666666666,0.5,0.875,0.0,0.5232308607182563
200010,0.5737704918032787,0.6111111111111112,0.3333333333333333,0.125,0.3333333333333333,0.4505520076531272
200011,0.5081967213114754,0.5833333333333334,0.6666666666666666,0.125,0.0,0.4630917599607002
200012,0.5081967213114754,0.8888888888888888,0.5,0.25,0.3333333333333333,0.4630917599607002
200013,0.5573770491803278,0.6944444444444444,0.5,0.125,0.6666666666666666,0.45662797011143574
200014,0.45901639344262296,0.8333333333333334,0.6666666666666666,0.75,0.0,0.4402616542130982
200015,0.47540983606557374,0.75,0.3333333333333333,0.25,0.3333333333333333,0.6458618817385009
200016,0.5245901639344263,0.3055555555555556,0.3333333333333333,0.125,0.0,0.4730977066473615
200017,0.36065573770491804,0.6111111111111112,0.3333333333333333,0.25,0.0,0.46371228378622953
200018,0.8688524590163934,0.2222222222222222,0.6666666666666666,0.375,0.0,0.7866949349742741
200019,0.5573770491803278,0.2222222222222222,0.5,0.75,0.3333333333333333,0.47591591902164077
200020,0.5573770491803278,0.4722222222222222,0.3333333333333333,0.125,0.6666666666666666,0.47591591902164077
200021,0.5573770491803278,0.4166666666666667,0.6666666666666666,0.125,0.0,0.47591591902164077
200022,0.5573770491803278,0.3611111111111111,0.5,0.125,0.0,0.6979341727641751
200023,0.3442622950819672,0.5833333333333334,0.5,0.25,0.3333333333333333,0.4196809473330403
200024,0.5573770491803278,0.3333333333333333,0.5,0.375,0.3333333333333333,0.464358662771156
200025,0.8688524590163934,0.3055555555555556,0.5,0.625,0.3333333333333333,0.8815058044832846
200026,0.6885245901639344,0.6111111111111112,0.8333333333333334,0.25,0.6666666666666666,0.564288853840784
200027,0.6885245901639344,0.3888888888888889,0.5,0.125,0.3333333333333333,0.564288853840784
