CustomerID,Age,DurationOfPitch,NumberOfFollowups,NumberOfTrips,NumberOfChildrenVisiting,MonthlyIncome
200000,0.38461538461538464,-0.6363636363636364,-1.0,-1.0,-1.0,-0.23749178635126256
200001,1.0,0.09090909090909091,0.0,-0.5,1.0,-0.3995118745893176
200002,0.07692307692307693,-0.45454545454545453,0.0,2.0,-1.0,-0.9702431240026284
200003,-0.23076923076923078,-0.36363636363636365,-1.0,-0.5,0.0,-0.8164836196376608
200004,-0.3076923076923077,-0.45454545454545453,-1.0,-1.0,-1.0,-0.7115366563409369
200005,-0.3076923076923077,-0.45454545454545453,-1.0,-1.0,0.0,-0.786632873369004
200006,1.7692307692307692,-0.36363636363636365,-2.0,1.0,0.0,-0.861353609311931
200007,-0.46153846153846156,1.5454545454545454,-1.0,-0.5,0.0,-0.8570355768328171
200008,0.15384615384615385,1.4545454545454546,0.0,-1.0,-1.0,0.4257955505491411
200009,0.0,1.8181818181818181,-1.0,2.0,-1.0,-0.3794236365343096
200010,-0.07692307692307693,0.8181818181818182,-2.0,-1.0,0.0,-0.9071623016990519
200011,-0.38461538461538464,0.7272727272727273,0.0,-1.0,-1.0,-0.8161081385525204
200012,-0.38461538461538464,1.7272727272727273,-1.0,-0.5,0.0,-0.8161081385525204
200013,-0.15384615384615385,1.0909090909090908,-1.0,-1.0,1.0,-0.8630432741950624
200014,-0.6153846153846154,1.5454545454545454,0.0,1.5,-1.0,-0.9818830376419788
200015,-0.5384615384615384,1.2727272727272727,-2.0,-0.5,0.0,0.5110297568759974
200016,-0.3076923076923077,-0.18181818181818182,-2.0,-1.0,-1.0,-0.7434525485778654
200017,-1.0769230769230769,0.8181818181818182,-2.0,-0.5,-1.0,-0.8116023655308364
200018,1.3076923076923077,-0.45454545454545453,0.0,0.0,-1.0,1.5336524922557027
200019,-0.15384615384615385,-0.45454545454545453,-1.0,1.5,0.0,-0.722988829437717
200020,-0.15384615384615385,0.36363636363636365,-2.0,-1.0,1.0,-0.722988829437717
200021,-0.15384615384615385,0.18181818181818182,0.0,-1.0,-1.0,-0.722988829437717
200022,-0.15384615384615385,0.0,-1.0,-1.0,-1.0,0.8891392096123157
200023,-1.1538461538461537,0.7272727272727273,-1.0,-0.5,0.0,-1.1313245095278326
200024,-0.15384615384615385,-0.09090909090909091,-1.0,0.0,0.0,-0.8069088519665821
200025,1.3076923076923077,-0.18181818181818182,-1.0,1.0,0.0,2.222097061860509
200026,0.46153846153846156,0.8181818181818182,1.0,-0.5,1.0,-0.08129165493288276
200027,0.46153846153846156,0.09090909090909091,-1.0,-1.0,0.0,-0.08129165493288276
200028,0.6153846153846154,0.0,0.0,0.5,-1.0,0.5613442222848024
200029,0.7692307692307693,-0.45454545454545453,-1.0,0.5,0.0,2.194499202102694
200030,-0.23076923076923078,-0.45454545454545453,-1.0,1.0,1.0,-0.8940204637191401
200031,0.6153846153846154,0.2727272727272727,-1.0,0.0,0.0,-0.14887825025814325
200032,-0.46153846153846156,0.18181818181818182,0.0,-0.5,0.0,-0.9484652210644888
200033,0.23076923076923078,-0.18181818181818182,-1.0,0.5,0.0,-0.970994086172909
200034,-0.9230769230769231,-0.6363636363636364,-1.0,0.0,1.0,-0.9321317938608843
200035,0.5384615384615384,-0.45454545454545453,-2.0,-0.5,0.0,-0.8660471228761851
200036,1.0769230769230769,-0.36363636363636365,0.0,-0.5,-1.0,-0.8589129822585188
200037,-0.07692307692307693,-0.45454545454545453,-1.0,-0.5,-1.0,-0.9845114052379611
200039,-0.23076923076923078,-0.6363636363636364,-2.0,0.0,-1.0,-0.35332770111705625
200040,-0.07692307692307693,-0.2727272727272727,-1.0,-0.5,-1.0,-0.9963390594198818
200041,-0.6923076923076923,-0.45454545454545453,-1.0,-0.5,0.0,-0.9231202478175162
200042,-0.7692307692307693,1.6363636363636365,1.0,-0.5,0.0,-0.9321317938608843
200043,-0.6923076923076923,0.09090909090909091,-1.0,-0.5,-1.0,0.2756031164930067
200044,0.38461538461538464,-0.6363636363636364,-1.0,-0.5,-1.0,2.3067680465596547
200045,0.38461538461538464,0.45454545454545453,-1.0,-0.5,-1.0,2.3067680465596547
200046,-0.15384615384615385,1.0909090909090908,-1.0,-1.0,0.0,-0.505022059513752
200047,0.07692307692307693,1.0909090909090908,-1.0,1.0,0.0,-0.7952689383272318
200048,0.7692307692307693,-0.18181818181818182,-1.0,1.0,0.0,-0.2789824462592697
200049,-0.07692307692307693,0.09090909090909091,-2.0,-0.5,0.0,-0.9366375668825683
200050,0.9230769230769231,-0.6363636363636364,0.0,-1.0,1.0,-0.3523889984042054
