,TypeofContact_0,Occupation_0,Gender_0,ProductPitched_0,ProductPitched_1,MaritalStatus_0,Designation_0,Designation_1,CustomerID
0,1,1,1,0,1,1,0,1,200000
1,2,1,2,0,1,2,0,1,200001
2,1,2,2,0,2,1,0,2,200002
3,2,1,1,0,2,2,0,2,200003
4,1,3,2,0,2,2,0,2,200004
5,2,1,2,0,2,1,0,2,200005
6,1,3,1,0,2,2,0,2,200006
7,1,1,2,0,2,3,0,2,200007
8,2,1,2,0,3,4,0,3,200008
9,1,3,2,0,1,2,0,1,200009
10,1,3,2,0,2,2,0,2,200010
11,1,1,1,0,1,1,0,1,200011
12,1,1,2,0,2,3,0,2,200012
13,1,3,2,0,2,3,0,2,200013
14,1,1,2,0,2,1,0,2,200014
15,1,1,1,0,3,3,0,3,200015
16,1,1,2,0,2,3,0,2,200016
17,2,3,2,0,2,3,0,2,200017
18,1,1,1,0,4,2,0,4,200018
19,1,1,2,0,2,1,0,2,200019
20,2,1,1,0,1,3,0,1,200020
21,1,1,2,0,1,1,0,1,200021
22,1,1,3,0,3,4,0,3,200022
23,1,1,2,0,2,1,0,2,200023
24,1,3,2,0,2,1,0,2,200024
25,1,1,1,1,0,3,1,0,200025
26,2,1,1,0,2,1,0,2,200026
27,1,3,2,0,1,2,0,1,200027
28,1,3,1,0,3,2,0,3,200028
29,1,3,1,1,0,1,1,0,200029
30,1,3,2,0,2,1,0,2,200030
31,1,1,2,0,1,2,0,1,200031
32,1,3,2,0,2,1,0,2,200032
33,1,4,2,0,1,2,0,1,200033
34,1,3,2,0,2,2,0,2,200034
35,1,3,1,0,2,3,0,2,200035
36,1,3,2,0,2,2,0,2,200036
37,1,3,1,0,2,2,0,2,200037
38,2,1,1,0,1,2,0,1,200039
39,1,1,2,0,2,3,0,2,200040
40,1,1,1,0,2,3,0,2,200041
41,1,1,2,0,2,1,0,2,200042
42,2,1,2,0,3,4,0,3,200043
43,2,3,1,0,1,1,0,1,200044
44,1,4,1,1,0,2,1,0,200045
45,2,3,2,0,1,1,0,1,200046
46,1,1,2,0,2,2,0,2,200047
47,2,3,2,0,1,1,0,1,200048
48,1,1,2,0,2,2,0,2,200049
49,1,1,2,0,3,1,0,3,200050
50,1,4,2,0,2,1,0,2,200051
51,1,3,1,0,1,3,0,1,200052
52,2,3,2,0,3,2,0,3,200053
53,1,3,1,0,1,2,0,1,200054
54,2,1,3,0,3,4,0,3,200055
55,2,1,2,0,3,2,0,3,200056
56,1,3,1,0,2,2,0,2,200057
57,1,1,2,0,1,3,0,1,200058
58,1,1,2,0,1,3,0,1,200059
59,1,3,2,0,1,2,0,1,200060
60,2,1,1,0,1,1,0,1,200061
61,1,3,1,1,0,3,1,0,200062
62,1,1,1,0,3,4,0,3,200063
63,1,4,1,0,3,3,0,3,200064
64,1,3,1,0,4,3,0,4,200065
65,2,1,2,0,1,4,0,1,200066
66,1,1,2,0,3,3,0,3,200067
67,2,3,2,0,2,2,0,2,200068
68,1,3,2,0,2,2,0,2,200069
69,2,1,1,0,1,1,0,1,200070
70,1,1,2,0,2,2,0,2,200071
71,1,3,2,0,2,1,0,2,200072
72,1,1,2,0,1,2,0,1,200073
73,1,1,1,0,1,2,0,1,200074
74,1,1,1,0,1,1,0,1,200075
75,1,3,2,0,1,1,0,1,200076
76,1,1,2,0,3,2,0,3,200077
77,1,3,2,0,3,1,0,3,200078
78,1,3,2,0,1,3,0,1,200079
79,1,1,2,0,1,2,0,1,200080
80,1,3,2,0,2,1,0,2,200081
81,1,1,2,0,3,2,0,3,200082
82,2,3,1,0,1,3,0,1,200083
83,1,3,2,0,1,2,0,1,200084
84,1,1,2,0,3,4,0,3,200085
85,1,4,2,0,2,3,0,2,200086
86,1,1,2,0,2,2,0,2,200087
87,1,1,2,0,1,2,0,1,200088
88,1,3,2,0,3,4,0,3,200089
89,2,1,2,0,4,2,0,4,200090
90,1,3,2,0,1,1,0,1,200091
91,1,3,1,0,1,3,0,1,200092
92,2,3,2,0,3,2,0,3,200093
93,1,3,2,0,1,1,0,1,200094
94,1,4,1,0,3,2,0,3,200095
95,1,1,1,0,1,2,0,1,200096
96,2,3,2,0,1,2,0,1,200097
97,1,3,2,0,4,1,0,4,200098
98,2,3,2,0,1,2,0,1,200099
99,1,1,2,0,2,3,0,2,200100
100,1,1,2,0,2,1,0,2,200101
101,2,1,1,0,2,1,0,2,200102
102,1,1,1,0,1,1,0,1,200103
103,2,1,2,0,1,3,0,1,200104
104,2,1,1,1,0,2,1,0,200105
105,2,1,1,1,0,2,1,0,200106
106,1,3,2,0,1,1,0,1,200107
107,1,3,2,0,2,2,0,2,200108
108,1,3,1,0,2,1,0,2,200109
109,2,3,1,0,3,4,0,3,200110
110,2,1,2,0,1,1,0,1,200111
111,2,1,1,0,4,1,0,4,200112
112,1,1,2,0,2,2,0,2,200113
113,1,1,1,0,1,3,0,1,200114
114,1,1,2,0,3,4,0,3,200115
115,1,3,3,0,3,4,0,3,200116
116,2,4,1,0,3,2,0,3,200117
117,1,1,1,0,2,3,0,2,200118
118,2,1,2,0,4,2,0,4,200119
119,2,1,2,0,2,3,0,2,200120
120,2,3,2,0,1,2,0,1,200121
121,1,1,1,0,2,2,0,2,200122
122,1,1,2,1,0,1,1,0,200123
123,1,1,2,0,1,2,0,1,200124
124,1,1,1,0,2,2,0,2,200125
125,1,3,1,0,3,2,0,3,200126
126,1,3,2,0,2,1,0,2,200127
127,1,4,2,0,2,2,0,2,200128
128,1,3,1,0,1,2,0,1,200129
129,2,3,1,0,2,1,0,2,200130
130,2,3,3,0,3,4,0,3,200131
131,1,1,1,0,1,2,0,1,200132
132,1,1,2,0,3,3,0,3,200133
133,1,1,1,0,2,2,0,2,200134
134,1,3,2,0,1,3,0,1,200135
135,2,1,2,0,3,4,0,3,200136
136,1,1,1,0,1,2,0,1,200137
137,1,1,2,0,1,2,0,1,200138
138,1,1,2,0,1,2,0,1,200139
139,1,3,1,0,2,1,0,2,200140
140,1,3,2,0,2,1,0,2,200141
141,1,1,1,0,2,1,0,2,200143
142,2,3,2,0,1,3,0,1,200144
143,1,4,1,0,2,3,0,2,200145
144,1,3,2,0,2,1,0,2,200146
145,2,1,2,0,4,3,0,4,200147
146,1,1,2,0,2,2,0,2,200148
147,1,3,1,0,2,1,0,2,200149
148,2,3,1,0,1,3,0,1,200150
149,1,3,2,0,3,2,0,3,200151
150,1,3,2,0,1,2,0,1,200152
151,1,1,2,0,1,3,0,1,200153
