,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,CustomerID
0,1,1,0,0,0,0,2,2,200000
1,1,2,0,0,0,2,1,0,200001
2,0,0,0,0,2,1,1,2,200002
3,0,2,0,0,2,1,0,1,200003
4,0,0,0,0,2,3,0,1,200004
5,0,2,0,0,2,1,1,0,200005
6,0,0,0,0,2,2,0,2,200006
7,0,1,0,0,2,2,0,1,200007
8,0,2,0,1,0,1,1,1,200008
9,1,0,0,0,0,3,1,1,200009
10,0,0,0,0,2,3,0,1,200010
11,1,1,0,0,0,0,2,2,200011
12,0,1,0,0,2,2,0,1,200012
13,0,0,0,0,2,3,0,1,200013
14,0,1,0,0,2,1,1,1,200014
15,0,1,0,1,0,1,0,3,200015
16,0,1,0,0,2,2,0,1,200016
17,0,1,0,0,2,3,0,0,200017
18,0,1,1,0,1,1,0,2,200018
19,0,1,0,0,2,1,1,1,200019
20,1,2,0,0,0,1,1,1,200020
21,1,1,0,0,0,1,2,1,200021
22,0,1,1,1,0,0,1,2,200022
23,0,1,0,0,2,1,1,1,200023
24,0,0,0,0,2,2,1,1,200024
25,0,1,0,0,0,2,1,2,200025
26,0,2,0,0,2,0,1,1,200026
27,1,0,0,0,0,3,1,1,200027
28,0,0,0,1,0,2,0,3,200028
29,0,0,0,0,0,2,2,2,200029
30,0,0,0,0,2,2,1,1,200030
31,1,1,0,0,0,2,1,1,200031
32,0,0,0,0,2,2,1,1,200032
33,1,0,0,0,1,2,1,1,200033
34,0,0,0,0,2,3,0,1,200034
35,0,0,0,0,2,2,0,2,200035
36,0,0,0,0,2,3,0,1,200036
37,0,0,0,0,2,2,0,2,200037
38,1,2,0,0,0,1,1,1,200039
39,0,1,0,0,2,2,0,1,200040
40,0,1,0,0,2,1,0,2,200041
41,0,1,0,0,2,1,1,1,200042
42,0,2,0,1,0,1,1,1,200043
43,1,1,0,0,0,1,2,1,200044
44,0,0,0,0,1,2,1,2,200045
45,1,1,0,0,0,2,2,0,200046
46,0,1,0,0,2,2,0,1,200047
47,1,1,0,0,0,2,2,0,200048
48,0,1,0,0,2,2,0,1,200049
49,0,1,0,1,0,1,1,2,200050
50,0,0,0,0,3,1,1,1,200051
51,1,0,0,0,0,2,1,2,200052
52,0,1,0,1,0,3,0,1,200053
53,1,0,0,0,0,2,1,2,200054
54,0,2,1,1,0,0,1,1,200055
55,0,2,0,1,0,2,0,1,200056
56,0,0,0,0,2,2,0,2,200057
57,1,1,0,0,0,2,1,1,200058
58,1,1,0,0,0,2,1,1,200059
59,1,0,0,0,0,3,1,1,200060
60,1,2,0,0,0,0,2,1,200061
61,0,0,0,0,0,3,1,2,200062
62,0,1,0,1,0,0,1,3,200063
63,0,0,0,1,1,1,0,3,200064
