,TypeofContact,Occupation,Gender,ProductPitched,MaritalStatus,Designation,CustomerID
0,0,Salaried,Female,Deluxe,Single,Manager,200000
1,1,Salaried,Male,Deluxe,Divorced,Manager,200001
2,0,Free Lancer,Male,Basic,Single,Executive,200002
3,1,Salaried,Female,Basic,Divorced,Executive,200003
4,0,Small Business,Male,Basic,Divorced,Executive,200004
5,1,Salaried,Male,Basic,Single,Executive,200005
6,0,Small Business,Female,Basic,Divorced,Executive,200006
7,0,Salaried,Male,Basic,Married,Executive,200007
8,1,Salaried,Male,Standard,Unmarried,Senior Manager,200008
9,0,Small Business,Male,Deluxe,Divorced,Manager,200009
10,0,Small Business,Male,Basic,Divorced,Executive,200010
11,0,Salaried,Female,Deluxe,Single,Manager,200011
12,0,Salaried,Male,Basic,Married,Executive,200012
13,0,Small Business,Male,Basic,Married,Executive,200013
14,0,Salaried,Male,Basic,Single,Executive,200014
15,0,Salaried,Female,Standard,Married,Senior Manager,200015
16,0,Salaried,Male,Basic,Married,Executive,200016
17,1,Small Business,Male,Basic,Married,Executive,200017
18,0,Salaried,Female,Super Deluxe,Divorced,AVP,200018
19,0,Salaried,Male,Basic,Single,Executive,200019
20,1,Salaried,Female,Deluxe,Married,Manager,200020
21,0,Salaried,Male,Deluxe,Single,Manager,200021
22,0,Salaried,Fe Male,Standard,Unmarried,Senior Manager,200022
23,0,Salaried,Male,Basic,Single,Executive,200023
24,0,Small Business,Male,Basic,Single,Executive,200024
25,0,Salaried,Female,King,Married,VP,200025
26,1,Salaried,Female,Basic,Single,Executive,200026
27,0,Small Business,Male,Deluxe,Divorced,Manager,200027
28,0,Small Business,Female,Standard,Divorced,Senior Manager,200028
29,0,Small Business,Female,King,Single,VP,200029
30,0,Small Business,Male,Basic,Single,Executive,200030
31,0,Salaried,Male,Deluxe,Divorced,Manager,200031
32,0,Small Business,Male,Basic,Single,Executive,200032
33,0,Large Business,Male,Deluxe,Divorced,Manager,200033
34,0,Small Business,Male,Basic,Divorced,Executive,200034
35,0,Small Business,Female,Basic,Married,Executive,200035
36,0,Small Business,Male,Basic,Divorced,Executive,200036
37,0,Small Business,Female,Basic,Divorced,Executive,200037
38,1,Salaried,Female,Deluxe,Divorced,Manager,200039
39,0,Salaried,Male,Basic,Married,Executive,200040
40,0,Salaried,Female,Basic,Married,Executive,200041
41,0,Salaried,Male,Basic,Single,Executive,200042
42,1,Salaried,Male,Standard,Unmarried,Senior Manager,200043
43,1,Small Business,Female,Deluxe,Single,Manager,200044
44,0,Large Business,Female,King,Divorced,VP,200045
45,1,Small Business,Male,Deluxe,Single,Manager,200046
46,0,Salaried,Male,Basic,Divorced,Executive,200047
47,1,Small Business,Male,Deluxe,Single,Manager,200048
48,0,Salaried,Male,Basic,Divorced,Executive,200049
49,0,Salaried,Male,Standard,Single,Senior Manager,200050
50,0,Large Business,Male,Basic,Single,Executive,200051
51,0,Small Business,Female,Deluxe,Married,Manager,200052
52,1,Small Business,Male,Standard,Divorced,Senior Manager,200053
53,0,Small Business,Female,Deluxe,Divorced,Manager,200054
54,1,Salaried,Fe Male,Standard,Unmarried,Senior Manager,200055
55,1,Salaried,Male,Standard,Divorced,Senior Manager,200056
56,0,Small Business,Female,Basic,Divorced,Executive,200057
57,0,Salaried,Male,Deluxe,Married,Manager,200058
58,0,Salaried,Male,Deluxe,Married,Manager,200059
59,0,Small Business,Male,Deluxe,Divorced,Manager,200060
60,1,Salaried,Female,Deluxe,Single,Manager,200061
61,0,Small Business,Female,King,Married,VP,200062
62,0,Salaried,Female,Standard,Unmarried,Senior Manager,200063
63,0,Large Business,Female,Standard,Married,Senior Manager,200064
64,0,Small Business,Female,Super Deluxe,Married,AVP,200065
65,1,Salaried,Male,Deluxe,Unmarried,Manager,200066
66,0,Salaried,Male,Standard,Married,Senior Manager,200067
67,1,Small Business,Male,Basic,Divorced,Executive,200068
68,0,Small Business,Male,Basic,Divorced,Executive,200069
69,1,Salaried,Female,Deluxe,Single,Manager,200070
70,0,Salaried,Male,Basic,Divorced,Executive,200071
71,0,Small Business,Male,Basic,Single,Executive,200072
72,0,Salaried,Male,Deluxe,Divorced,Manager,200073
73,0,Salaried,Female,Deluxe,Divorced,Manager,200074
74,0,Salaried,Female,Deluxe,Single,Manager,200075
75,0,Small Business,Male,Deluxe,Single,Manager,200076
76,0,Salaried,Male,Standard,Divorced,Senior Manager,200077
77,0,Small Business,Male,Standard,Single,Senior Manager,200078
78,0,Small Business,Male,Deluxe,Married,Manager,200079
79,0,Salaried,Male,Deluxe,Divorced,Manager,200080
80,0,Small Business,Male,Basic,Single,Executive,200081
81,0,Salaried,Male,Standard,Divorced,Senior Manager,200082
82,1,Small Business,Female,Deluxe,Married,Manager,200083
83,0,Small Business,Male,Deluxe,Divorced,Manager,200084
84,0,Salaried,Male,Standard,Unmarried,Senior Manager,200085
85,0,Large Business,Male,Basic,Married,Executive,200086
86,0,Salaried,Male,Basic,Divorced,Executive,200087
87,0,Salaried,Male,Deluxe,Divorced,Manager,200088
88,0,Small Business,Male,Standard,Unmarried,Senior Manager,200089
89,1,Salaried,Male,Super Deluxe,Divorced,AVP,200090
